data,retorno_liquido,retorno_bruto,custo,giro,alavancagem,n_views,n_taticas,benchmark_spy,acum_estrategia,acum_spy,excesso_acum,dd_estrategia,dd_spy
2026-01-20,-0.02382485692904594,-0.023803494992294134,2.1361936751806198e-05,0.10680968375903098,1.64419093382307,1,1,-0.02035680001149731,0.17866438124707407,0.1410971257497282,0.03756725549734585,-0.023824856929046012,-0.025289130990863162
2026-01-21,0.012646030439491182,0.01289102135059498,0.0002449909111037979,1.2249545555189894,1.2171728103839097,1,0,0.0115411092816613,0.19356980689026848,0.1542666523789955,0.039303154511272975,-0.011480116355496062,-0.014039886333605534
2026-01-22,0.0071662181187495955,0.0073883314463859635,0.00022211332763636822,1.110566638181841,1.4960225540378407,1,1,0.005223257672714476,0.20212318846639787,0.16029568452739262,0.04182750393900525,-0.004396167254578698,-0.008889962604907042
2026-01-23,-0.001208807012545689,-0.0011449242236394146,6.388278890627437e-05,0.31941394453137184,1.575354432000738,1,1,0.00036273518897367296,0.20067005352623601,0.16071656460178496,0.03995348892445105,-0.005599660149318675,-0.008530452118198917
2026-01-26,0.00474804666694696,0.004954488925142938,0.00020644225819597747,1.0322112909798873,1.039286055908737,1,0,0.00507823176187272,0.20637089097198436,0.16661095232667744,0.039759938645306914,-0.0008782009300796201,-0.0034955399692160327
2026-01-27,0.00381989597382561,0.003835924109675954,1.6028135850344296e-05,0.08014067925172148,1.1192693603318011,1,0,0.003984165378470905,0.21097910228134853,0.17125892329308234,0.039720178988266186,0.0,0.0
2026-01-28,0.006158875057189161,0.006377077024792413,0.00021820196760325203,1.09100983801626,1.4518966307036032,0,1,-0.0001006645803248718,0.2184373712691665,0.17114101900511725,0.04729635226404927,0.0,-0.0001006645803248718
2026-01-29,0.0016915122573491776,0.0020915570812695856,0.0004000448239204079,2.0002241196020396,2.0,1,1,-0.001984377154833794,0.22049837301748054,0.1688170335219148,0.05168133949556575,0.0,-0.0020848419786650974
2026-01-30,-0.0012671918015983912,-0.0010349160352610609,0.00023227576633733029,1.1613788316866513,2.0,1,0,-0.0029824841055743345,0.21895176748532852,0.16533105529711123,0.05362071218821729,-0.0012671918015985106,-0.005061108076175436
2026-02-02,-0.001917028668633269,-0.0019069283781072096,1.0100290526059373e-05,0.05050145263029686,1.9522561736766197,1,0,0.00497122273706152,0.21661500200137795,0.17112417553540804,0.045490826465969914,-0.0031817912272193993,-0.00011504523465699634
2026-02-03,0.0023033207774964095,0.0025083259283884413,0.00020500515089203202,1.02502575446016,1.9999999999999998,1,1,-0.008455385901172563,0.2194172566137016,0.16122186869306354,0.05819538792063805,-0.0008857991355663009,-0.008569458383974493
2026-02-04,0.005728946583299263,0.0057498512887368776,2.0904705437615378e-05,0.10452352718807689,2.0,1,1,-0.004843853725993386,0.22640323293959486,0.15559707981768955,0.0708061531219053,0.0,-0.013371802907044983
2026-02-05,-0.009418297094230524,-0.009412900742422733,5.396351807791073e-06,0.026981759038955364,2.0,1,1,-0.012489284060324235,0.21485260293444508,0.14116449962856525,0.07368810330587983,-0.009418297094230366,-0.02569408272246443
2026-02-06,0.01663137288306796,0.0166614685618353,3.0095678767338315e-05,0.15047839383669157,2.0,1,1,0.01918478647681998,0.2350572695718136,0.1630574968888665,0.0719997726829471,0.0,-0.0070022317363925834
