data,r_bruto,r_mercado,r_tilt,custo,carrego,r_liquido,giro,alavancagem,alavancagem_pedida,r_pedido,n_views,n_taticas,cenario,r_benchmark
2026-03-06,-0.005921385215797465,-0.013107129910862048,0.007185744695064582,6.33069841741237e-05,0.0,-0.005984692199971589,0.3165349208706185,1.9999999999999998,4.638235739147469,0.013036303251111252,2,1,tilt ≤ 1,-0.013107129910862048
2026-03-09,0.004726004378309567,0.00875996152231262,-0.004033957144003054,7.703075922157227e-05,0.0,0.004648973619087994,0.3851537961078613,1.9999999999999998,5.987618373727868,-0.011359877247947802,1,1,tilt ≤ 1,0.00875996152231262
2026-03-10,-0.0048861076428509745,-0.0016070155764896787,-0.0032790920663612957,0.0001248853435332728,0.0,-0.005010992986384247,0.6244267176663639,2.0,6.757535971063114,-0.020486506100992518,1,1,tilt ≤ 1,-0.0016070155764896787
2026-03-11,-0.006844573800213152,-0.0012551345486657706,-0.005589439251547382,5.3196699603715715e-05,0.0,-0.006897770499816868,0.26598349801857857,1.9999999999999998,5.6491434627698816,-0.027241239505546654,1,1,tilt ≤ 1,-0.0012551345486657706
2026-03-12,-0.013131367125113971,-0.015184966271003186,0.0020535991458892153,5.4415210413464145e-05,0.0,-0.013185782335527436,0.2720760520673207,2.0,6.405926591576489,-0.004083360039801906,1,1,tilt ≤ 1,-0.015184966271003186
2026-03-13,-0.0028855021029327798,-0.00566013575260893,0.0027746336496761504,3.0810922252522562e-06,0.0,-0.0028885831951580322,0.01540546112626128,2.0000000000000004,6.478617955402325,0.009541021980170313,1,1,tilt ≤ 1,-0.00566013575260893
2026-03-16,0.010082195028909476,0.01017686501045656,-9.466998154708355e-05,5.015051077240411e-06,0.0,0.010077179977832236,0.02507525538620205,1.9999999999999998,6.4955636352547295,0.009656600102516165,1,1,tilt ≤ 1,0.01017686501045656
2026-03-17,0.004507594256374654,0.002630544991105488,0.0018770492652691664,0.00037501820726429017,0.0,0.004132576049110364,1.8750910363214508,2.0,1915.14787365452,3.5955804048508604,2,1,tilt ≤ 1,0.002630544991105488
2026-03-18,-0.013905860527351835,-0.013953644515257158,4.778398790532268e-05,1.2959311310814112e-06,0.0,-0.013907156458482917,0.006479655655407056,2.0,2089.4756915016765,0.08584205266802192,1,1,tilt ≤ 1,-0.013953644515257158
2026-03-19,-0.0049067044676319475,-0.002464381043311259,-0.0024423234243206885,2.526286085811591e-06,0.0,-0.004909230753717759,0.012631430429057955,2.0,2273.8369757327846,-5.553467366537683,2,0,tilt ≤ 1,-0.002464381043311259
2026-03-20,-0.015360263415389269,-0.014335696266852715,-0.0010245671485365534,1.9933024637131054e-06,0.0,-0.015362256717852981,0.009966512318565527,2.0,2519.7767741786083,-2.594991633587119,2,1,tilt ≤ 1,-0.014335696266852715
2026-03-23,0.008610107793152537,0.010499991225476402,-0.0018898834323238644,1.6241635314082813e-06,0.0,0.00860848362962113,0.008120817657041406,2.0,2670.9540577629136,-5.035401947606524,2,1,tilt ≤ 1,0.010499991225476402
2026-03-24,-0.004630552239327942,-0.0033568144771775055,-0.0012737377621504361,2.318601746431354e-06,0.0,-0.004632870841074373,0.01159300873215677,2.0,2832.1570658768837,-3.6095084798635937,2,0,tilt ≤ 1,-0.0033568144771775055
2026-03-25,0.005297224750439686,0.0055726882440485515,-0.0002754634936088657,5.082975433349059e-07,0.0,0.0052967164528963506,0.0025414877166745294,1.9999999999999998,3067.5358010018913,-0.8391459767765905,2,0,tilt ≤ 1,0.0055726882440485515
2026-03-26,-0.018370195852252167,-0.017858729983344035,-0.0005114658689081321,7.470998397933993e-07,0.0,-0.018370942952091962,0.0037354991989669963,1.9993250877212334,3425.4556093892706,-1.7703738255147652,2,1,tilt ≤ 1,-0.017858729983344035
2026-03-27,-0.016240093336977183,-0.01705189415742525,0.0008118008204480685,2.752408349111641e-06,0.0,-0.016242845745326296,0.013762041745558205,1.9999999999999998,3705.6705546868925,2.9904027016271844,2,0,tilt ≤ 1,-0.01705189415742525
2026-03-30,-0.004060991413547817,-0.0033433906874337227,-0.0007176007261140947,0.0003609053852413873,0.0,-0.004421896798789205,1.8045269262069363,1.657608265933937,4.900699850704653,-0.007577737184880714,1,1,tilt ≤ 1,-0.0033433906874337227
2026-03-31,0.02008647572839959,0.029067865784757174,-0.008981390056357584,0.0004003622501481874,0.0,0.019686113478251402,2.001811250740937,2.0,3.842439248656607,0.0035388101810721953,0,1,tilt ≤ 1,0.029067865784757174
2026-04-01,0.007534491410303489,0.00753449141030349,-8.673617379884035e-19,0.00020297395980257342,0.0,0.007331517450500915,1.014869799012867,1.0000000000000002,1.0000000000000002,0.007534491410303489,0,0,tilt ≤ 1,0.00753449141030349
2026-04-02,0.0009004595313388956,0.0009004595313388819,1.3660947373317356e-17,1.3549954163424119e-18,0.0,0.0009004595313388943,6.774977081712059e-15,1.0000000000000004,1.0000000000000004,0.0009004595313388956,0,0,tilt ≤ 1,0.0009004595313388819
2026-04-06,0.0064279334190897215,0.004726845083763864,0.0017010883353258573,0.00020000000000000126,0.0,0.00622793341908972,1.0000000000000062,2.0,3.5393998896311416,0.009046588614743169,0,1,tilt ≤ 1,0.004726845083763864
2026-04-07,-0.0068736635009562525,0.0004400005646272298,-0.007313664065583482,1.1489173228572916e-05,0.0,-0.0068851526741848254,0.05744586614286458,2.0,3.570252055849969,-0.018357959535734762,0,1,tilt ≤ 1,0.0004400005646272298
2026-04-08,0.02546963651219091,0.02546963651219092,-6.938893903907228e-18,0.00020217038588176922,0.0,0.025267466126309143,1.010851929408846,1.0000000000000002,1.0000000000000002,0.02546963651219091,0,0,tilt ≤ 1,0.02546963651219092
2026-04-09,0.008688842443679748,0.005769017699185586,0.002919824744494162,0.00020000000000000015,0.0,0.008488842443679747,1.0000000000000007,1.9999999999999998,3.4299308497230094,0.012863989921616551,0,1,tilt ≤ 1,0.005769017699185586
2026-04-10,-0.0006617754265585421,-0.0006617754265585418,-3.2526065174565133e-19,0.0001987212144072059,0.0,-0.000860496640965748,0.9936060720360295,1.0000000000000002,1.0000000000000002,-0.0006617754265585421,0,0,tilt ≤ 1,-0.0006617754265585418
2026-04-13,0.009772447246481741,0.009772447246481741,0.0,2.817728036809529e-20,0.0,0.009772447246481741,1.4088640184047645e-16,1.0000000000000002,1.0000000000000002,0.009772447246481741,0,0,tilt ≤ 1,0.009772447246481741
2026-04-14,0.012184877209840739,0.012184877209840739,0.0,1.9251943866553379e-19,0.0,0.012184877209840739,9.62597193327669e-16,1.0000000000000002,1.0000000000000002,0.012184877209840739,0,0,tilt ≤ 1,0.012184877209840739
2026-04-15,0.007890969227043909,0.007890969227043909,0.0,6.355959161300364e-19,0.0,0.007890969227043909,3.177979580650182e-15,1.0000000000000036,1.0000000000000036,0.007890969227043909,0,0,tilt ≤ 1,0.007890969227043909
