data,ir,beta
2025-09-10,1.345561320467567,0.9674734316010645
2025-09-11,1.270566281806202,0.9494675018695125
2025-09-12,1.3462421610512254,0.9492198487551788
2025-09-15,1.4131739954793852,0.9488140264066172
2025-09-16,1.0621759757041669,0.9458232923106104
2025-09-17,0.9493966403744627,0.9452208263518813
2025-09-18,1.0712625858843223,0.9469074232554284
2025-09-19,1.060020956704553,0.9494125088917346
2025-09-22,0.812022816613429,0.9445820559569751
2025-09-23,0.9238296170408928,0.9452483255981071
2025-09-24,0.7673574829917307,0.9470538317004397
2025-09-25,0.4928861335625304,0.9500479801176743
2025-09-26,0.4689800026654665,0.9501135551888715
2025-09-29,0.3488377909077783,0.9498385179924667
2025-09-30,0.8000182956467363,0.949056674473664
2025-10-01,0.9204347621587813,0.9496605246378566
2025-10-02,0.6440535482670424,0.947075223813311
2025-10-03,0.275360273846103,0.9536470969766894
2025-10-06,0.7110234061492345,0.9530778786115448
2025-10-07,0.7276410786078252,0.9505386544241824
2025-10-08,0.9535895991787106,0.9527464114358651
2025-10-09,0.4496880999477497,0.9596249256014632
2025-10-10,-0.03976550339908452,0.9886671889517931
2025-10-13,-0.8101570651346113,1.0108029241069818
2025-10-14,-1.4474935956438528,1.0108075690774905
2025-10-15,-1.376953503798864,1.0111479750621117
2025-10-16,-1.7886152018621773,1.0123041627962415
2025-10-17,-2.1027650245738414,1.0104781436932186
2025-10-20,-1.8894522749901026,1.0092665638129374
2025-10-21,-1.2919889459519354,1.0159781535588628
2025-10-22,-1.217745640627692,1.0135567187970167
2025-10-23,-0.9757797950115391,1.0149452119267466
2025-10-24,0.27878872132143223,1.0297270381626076
2025-10-27,0.7823201475502547,1.0369132023477532
2025-10-28,1.7314891114994726,1.0390910247345722
2025-10-29,2.589854606498125,1.0364599511598358
2025-10-30,2.55768431903353,1.043847750873953
2025-10-31,2.3290095960427806,1.0399063027733684
2025-11-03,2.6853558432967195,1.036364350392359
2025-11-04,2.1587335289911738,1.0513503750481465
2025-11-05,1.7647113367679588,1.0505804348764576
2025-11-06,2.3359839784086702,1.0382415236986213
2025-11-07,2.9860967402464293,1.0376260478474117
2025-11-10,2.855239424212693,1.0272214390246404
2025-11-11,3.406998507576722,1.0302370380153987
2025-11-12,3.4380769604673413,1.030051318775615
2025-11-13,2.626906511399795,1.0604619863812814
2025-11-14,2.6434046226481938,1.0604142439175526
2025-11-17,2.6900374096042143,1.0594365187749097
2025-11-18,2.8209421947382523,1.0560651885629386
2025-11-19,2.0617816900553048,1.051977709731461
2025-11-20,2.4986069558026696,1.0061058428576886
2025-11-21,2.6040421855595945,1.005761860965807
2025-11-24,2.333557011434927,0.9982688211183715
2025-11-25,2.2672692175881752,0.9986509790735429
2025-11-26,2.455918995000576,1.0003988769434675
2025-11-28,2.3829969439218597,0.9995947908723186
2025-12-01,2.313343158769974,1.0007274456936035
2025-12-02,2.359906718527419,1.0017999860316438
2025-12-03,2.550024827149227,1.0050547379996124
2025-12-04,2.453778355551306,1.0044790064910638
2025-12-05,2.5913951589010167,1.0051691908088825
2025-12-08,2.5358939476119455,1.0064835487457455
2025-12-09,2.4383749592642814,1.0076051424270795
2025-12-10,2.984084538458565,1.0180261613728454
2025-12-11,2.9278914495858444,1.0177511698908412
2025-12-12,2.967199734097787,1.0145118954001497
2025-12-15,2.9934778061533067,1.0144227218833253
2025-12-16,2.8832808474560383,1.015614852401322
2025-12-17,2.8888634356709186,1.0129432873145339
2025-12-18,2.404819970285471,1.0045446009665893
2025-12-19,2.3846099072012716,1.002701269020121
2025-12-22,2.310950466891869,1.0010516327437577
2025-12-23,2.34098860905327,0.9999040847272472
2025-12-24,2.447974439324626,0.9972777223892455
2025-12-26,2.2860996938303497,0.9975594517364226
2025-12-29,2.423462560021294,0.9985690843417238
2025-12-30,2.3233887691685524,0.9988459913817568
2025-12-31,2.201023269200951,1.000461746227459
2026-01-02,2.298126299889324,1.0005725615430086
2026-01-05,2.25053722399904,0.9987257889356189
2026-01-06,2.148315379945528,0.9975249924723363
2026-01-07,2.0222689098159066,0.9987964872910089
2026-01-08,1.9799103180934516,0.9987714011841007
2026-01-09,1.966686566425593,0.9961420655317719
2026-01-12,2.1949507431561615,0.9787266234664803
2026-01-13,2.117165374923167,0.9685903190443825
2026-01-14,2.6739359431500107,0.9593626239206595
2026-01-15,2.5483570281197334,0.9583924549249894
2026-01-16,2.739244201991851,0.9550670851664694
2026-01-20,2.482910775744038,0.9868966849120533
2026-01-21,2.6115575530702935,0.9913374187507488
2026-01-22,2.7546608110578563,0.9934086478684109
2026-01-23,2.508365037815893,0.9944177646807468
2026-01-26,2.4499079545839537,0.9936006785524365
2026-01-27,1.9508862718324214,0.9799170417885561
2026-01-28,2.2267758061062857,0.9706023806689171
2026-01-29,2.0575458576414074,0.9640964939380849
2026-01-30,1.5028687007993147,0.9620649928646071
2026-02-02,0.5569681540683437,0.9574851559047108
2026-02-03,1.4312041774133606,0.9297599979439514
2026-02-04,2.0463613985612334,0.9138786812399242
2026-02-05,2.5531503641731805,0.8904351133025504
2026-02-06,2.4705054465624454,0.8868139049100341
2026-02-09,1.8999391325221868,0.8888945231420309
2026-02-10,1.7725430941872626,0.8850260583270146
2026-02-11,2.417964684241534,0.8928993812941854
2026-02-12,2.57495704856941,0.8597119751773964
2026-02-13,2.9456256917065433,0.8607272921433381
2026-02-17,3.101381454739147,0.8129133914399539
2026-02-18,2.787524965803056,0.8081597201912776
2026-02-19,2.961905310367901,0.7985177357405248
2026-02-20,2.9074453290276314,0.7962381781442529
2026-02-23,3.82760492656169,0.7868825722268729
2026-02-24,3.3511775958752854,0.8116356355177984
2026-02-25,2.6829776823166713,0.7916553069521731
2026-02-26,2.992933509549574,0.7829331787788695
2026-02-27,3.462337628384267,0.7621692117177878
2026-03-02,2.8541825333605013,0.7574997209905895
2026-03-03,2.780862029874859,0.7700573452236356
2026-03-04,2.3341449061747737,0.7546021997665089
2026-03-05,1.7519109338203653,0.7741463539120929
2026-03-06,2.0975216974265027,0.7565475050309002
2026-03-09,1.8959093080467313,0.7498964286977775
2026-03-10,1.69906231418411,0.7522281594036874
2026-03-11,1.3650166939111719,0.7529384398813874
2026-03-12,1.5597463092034052,0.7620373178832989
2026-03-13,1.639069501119941,0.7545094722197062
2026-03-16,1.6403900229716915,0.7609488933869404
2026-03-17,1.6556926126665672,0.7571467836884807
2026-03-18,1.7031313577071532,0.7712668977864011
2026-03-19,1.629322760427837,0.7717443811615748
2026-03-20,1.5026608334731317,0.7845330018569631
2026-03-23,1.6266849735166447,0.7901555681007598
2026-03-24,1.6095701254425443,0.7904722298265769
2026-03-25,1.626420350911087,0.7906196186602079
2026-03-26,1.5966608094572756,0.8100918787541049
2026-03-27,1.6547393242433401,0.8202363836089794
2026-03-30,1.6626696521550761,0.8216175022496361
2026-03-31,1.030261550986235,0.7945773707300189
2026-04-01,1.0466210284128077,0.7965102255998221
2026-04-02,1.0789922887552188,0.7934504867739747
2026-04-06,1.1698446460414056,0.7958039001469951
2026-04-07,0.7673112527128997,0.7936604223884811
2026-04-08,0.7710749265346709,0.8157516554748057
2026-04-09,0.9661587718723724,0.8187635362243691
2026-04-10,0.9578823614898364,0.8188183057942854
2026-04-13,1.0051631210512508,0.821344892999056
2026-04-14,0.9602694731894892,0.8251562638426612
2026-04-15,0.8948419187592159,0.8268040853598597
2026-04-16,0.6249995724684249,0.8302087612565837
2026-04-17,0.6768117652652429,0.8340183836314216
2026-04-20,0.5708401141446813,0.8345902516943313
