view,mercado,conditionId,n_trades_total,bateu_cap_20k,t_cobertura_min,primeiro_slot,ultimo_slot
2.2,CPI_january-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0xd712dd34946bb296f69e372b77bfab77eccf074d7cdc7c2925c5703d12ab0f11,363,não,2025-01-16 06:47:03,2025-01-16 00:00,2025-02-12 12:00
2.2,CPI_july-inflation-monthly_will-monthly-inflation-increase-by-0pt0,0xa4dfc7605cd7665efd5af6c5e072b93b8658ec5cc884995751d9ba812999dd63,1792,não,2025-07-15 21:04:27,2025-07-16 00:00,2025-08-12 12:00
2.2,CPI_july-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0xc462c9f3092ca958620b2404a1dee04081901d93fd72392b69afaf550e7fdc41,1624,não,2025-07-15 21:04:19,2025-07-16 00:00,2025-08-12 12:00
2.2,CPI_july-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0x8f77c988f0d59c586025889f673665be989e11a428a11f3e53299651c3d2c0bc,1804,não,2025-07-15 19:16:30,2025-07-16 00:00,2025-08-12 12:00
2.2,CPI_july-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0x21706f8aef9aa3c1568c4354268669bdaa416026876afe3d0972a8a2ab844ea2,1495,não,2025-07-15 19:09:56,2025-07-16 00:00,2025-08-12 12:00
2.2,CPI_july-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0xafbd236a95daa3a0fd8fbc8a92781726bb3abb4c572c2aa0e3cce9a0bacac1b3,1574,não,2025-07-15 22:56:15,2025-07-16 00:00,2025-08-12 12:00
2.2,CPI_july-inflation-monthly_will-monthly-inflation-increase-by-0pt5,0x9e6b5a9bc1c103c4860140d7492008dc7fb82ade4da2423e4899d129da07fc44,1629,não,2025-07-15 18:46:06,2025-07-16 00:00,2025-08-12 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-decrease-by-0pt1,0x59ad4a7e8fb389d617896ce4286ac09eca0438ebede21a5dc8fb2dd72efa8f41,322,não,2026-07-14 21:08:53,2026-07-15 00:00,2026-07-29 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-decrease-by-0pt2,0x63f57ba535e250c0e5b168e4ad3b268215f2e7f962fa92820afdbbdc7e7dc178,124,não,2026-07-14 21:08:59,2026-07-15 00:00,2026-07-29 12:00
2.2,CPI_july-inflation-us-monthly-20260714151042665_will-monthly-inflation-decrease-by-0pt3,0xc7dde813a16c8ec829ce13f3449c197e21d1d16716adfbfe95667151833cf24b,125,não,2026-07-14 21:08:53,2026-07-15 00:00,2026-07-29 12:00
