view,mercado,conditionId,slot_utc,notional_usd,n_trades
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-11 00:00,0.000000,0
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-11 12:00,0.000000,0
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-12 00:00,0.000000,0
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-12 12:00,246.887900,2
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-13 00:00,21.214798,5
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-13 12:00,424.274195,36
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-14 00:00,438.825000,5
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-14 12:00,133.704995,5
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-15 00:00,219.930596,5
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-15 12:00,1065.762299,13
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-16 00:00,1258.091879,39
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-16 12:00,251.959197,9
